Location,Component,COMP_DEVICE_TYPE,SYM_MIRROR,SYM_X,SYM_Y,SYM_ROTATE
R6,1215-00407,R0402_R1005_4.7K/F,T,52.401,18.55,90.0
R6492,1215-00482,R1608_R1005_1.2K/F,T,34.0538,15.4457,90.0
R6493,1215-00081,R_4_R1608_150R/F,T,28.3957,10.3462,270.0
R6499,1215-00351,R0402_R1005_2K/F,T,78.45,11.65,0.0
R6500,1215-00351,R0402_R1005_2K/F,T,65.55,11.45,90.0
R6508,1215-00401,R1608_R1005_10K/F,B,99.5462,57.6793,270.0
R6512,1215-00351,R0402_R1005_2K/F,T,88.05,11.25,180.0
R6515,1215-00417,R1608_R1005_27K/F,B,100.95,59.2,180.0
R6516,1215-00450,R1608_R1005_100K/F,T,95.3962,60.7793,90.0
R6517,1215-00401,R1608_R1005_10K/F,T,104.05,64.4,0.0
R6518,1215-00450,R1608_R1005_100K/F,T,97.2462,61.7293,180.0
R6523,1215-01057,R1608_R3216_3.9K/F,T,95.1462,83.0543,180.0
R6527,1120-00012,R1608_1_R1608_10PF,T,98.2,35.3,0.0
R6528,1215-00024,R1608_1_R1608_0,T,94.15,35.3,180.0
R6536,1215-00023,R1608_1_R1005_0R,T,76.0938,34.5245,180.0
R6537,1215-00023,R1608_1_R1005_0R,T,76.1,35.4495,180.0
R7,1215-00407,R0402_R1005_4.7K/F,T,53.55,18.55,90.0
RS10,1215-00928,R0402_R1005_82R/F,T,35.5573,48.5278,45.0
RS11,1215-00994,RN0402_0_RN-8P-0402_82R,T,38.1483,49.9368,315.0
RS12,1215-00823,R0402_R1005_47R/F,T,51.299,18.55,90.0
RS13,1215-00528,R0402_R1005_75R/F,T,58.4273,59.6908,0.0
RS14,1215-00528,R0402_R1005_75R/F,T,58.4773,58.1938,0.0
RS15,1215-00023,R0402_R1005_0R,T,37.8433,47.0038,45.0
RS16,1215-00023,R0402_R1005_0R,T,38.6053,46.2418,45.0
RS17,1215-00823,R0402_R1005_47R/F,T,54.7,46.5,270.0
RS18,1215-00823,R0402_R1005_47R/F,T,54.6733,48.4288,270.0
RS2,1215-00928,R0402_R1005_82R/F,T,32.4463,69.1648,0.0
RS21,1215-00104,R0402_R1005_1K/F,T,58.3483,55.8538,315.0
RS30,1215-00851,R0402_R1005_5.1R/F,T,29.7962,102.0983,270.0
RS31,1215-00851,R0402_R1005_5.1R/F,T,30.7962,99.3483,270.0
RS32,1215-00851,R0402_R1005_5.1R/F,T,31.7462,99.3483,270.0
RS33,1215-00851,R0402_R1005_5.1R/F,T,32.5462,102.1483,270.0
RS34,1215-00851,R0402_R1005_5.1R/F,T,33.4962,102.1483,270.0
RS35,1215-00851,R0402_R1005_5.1R/F,T,34.3962,99.3983,270.0
RS36,1215-00851,R0402_R1005_5.1R/F,T,35.3462,99.3983,270.0
RS37,1215-00823,R0402_R1005_47R/F,T,61.7143,47.5438,270.0
RS38,1215-00823,R0402_R1005_47R/F,T,60.7943,47.5438,270.0
RS4,1215-00994,RN0402_0_RN-8P-0402_82R,T,37.7803,71.7048,225.0
RS5,1215-00186,R0402_R1005_33R,T,52.9,48.45,270.0
RS6,1215-00994,RN0402_0_RN-8P-0402_82R,T,34.8593,70.1178,270.0
RS7,1215-00994,RN0402_0_RN-8P-0402_82R,T,36.9923,52.5538,315.0
RS8,1215-00823,R0402_R1005_47R/F,T,54.65,18.55,90.0
RS9,1215-00928,R0402_R1005_82R/F,T,34.7953,49.2898,45.0
SW2,1235-00067,SW2_0_SW4P-SMD-W4_6-NTH0_5_TMSV,T,78.5001,6.55,90.0
SW3,1235-00067,SW2_0_SW4P-SMD-W4_6-NTH0_5_TMSV,T,66.0001,6.55,90.0
TC11,1120-00016,C_C1005_DISCRETE_1NF/50V,B,65.25,47.15,0.0
TC13,1120-00049,C_C1005_DISCRETE_15PF/50V,T,59.7983,57.8038,270.0
TC14,1120-00013,C_C1005_DISCRETE_100PF/50V,T,80.1462,95.9543,180.0
TC18,1120-00023,C_C1005_DISCRETE_100NF/16V,T,89.1462,98.8543,0.0
TC19,1120-00049,C_C1005_DISCRETE_15PF/50V,T,59.7483,60.1038,90.0
TC2,1120-00049,C_C1005_DISCRETE_15PF/50V,T,80.6462,100.7543,90.0
TC21,1120-00016,C_C1005_DISCRETE_1NF/50V,T,82.5962,104.3043,90.0
TC22,1120-00023,C_C1005_DISCRETE_100NF/16V,T,90.7462,82.8483,0.0
TC26,1120-00013,C_C1005_DISCRETE_100PF/50V,B,97.6462,57.6293,90.0
TC28,1120-00023,C_C1005_DISCRETE_100NF/16V,T,61.0983,58.2038,180.0
TC32,1120-00023,C_C1005_DISCRETE_100NF/16V,T,61.0983,59.7038,180.0
TC33,1120-00013,C_C1005_DISCRETE_100PF/50V,B,95.5103,61.1288,270.0
TC5,1120-00087,C_C1005_DISCRETE_27PF/50V,T,88.7962,96.3043,270.0
TC7,1120-00013,C_C1005_DISCRETE_100PF/50V,T,81.9962,95.9543,0.0
TR10,1215-00401,R_R1005_DISCRETE_10K/F,T,84.0202,103.8843,0.0
TR11,1215-00104,R_R1005_DISCRETE_1K/F,T,81.1962,103.9043,0.0
TR12,1215-00351,R_R1005_DISCRETE_2K/F,B,97.2462,60.7293,0.0
TR14,1215-00351,R_R1005_DISCRETE_2K/F,B,97.6462,59.3793,90.0
TR2,1215-00104,R_R1005_DISCRETE_1K/F,B,65.65,43.9,270.0
TR6,1215-00433,R_R1005_DISCRETE_100R/F,T,81.5762,97.3323,270.0
TR7,1215-00546,R_R1005_DISCRETE_68R,T,82.0962,100.3543,180.0
TR8,1215-00433,R_R1005_DISCRETE_100R/F,T,80.5262,97.3323,270.0
TR9,1215-00104,R_R1005_DISCRETE_1K/F,B,65.65,45.7,270.0
U205,1175-01709,TPS62110-QFN16H_2_TSSOP8P-P0_5-,T,81.681,72.75,0.0
Y2,1255-00136,XTAL-1G3G_XTALS4_3M2X2M5_DISCRE,T,86.0962,96.2543,90.0
9 EA,Change Description/Cost Reduction,,,,,
BC1,1120-00168,C0603_C1005_1UF/10V,B,50.7483,57.0038,315.0
BC3,1120-00097,C0603_C1005_33PF/50V,T,61.3983,55.0538,315.0
BC42,1120-00464,C0603_C1608_10UF/10V,T,13.8483,58.5178,90.0
BC62,1120-00408,C0603_C1608_4.7UF/16V,B,56.8983,62.0538,45.0
C10,1120-00059,CAP_C1005_DISCRETE_180PF/50V,B,72.5462,88.7483,180.0
C105,1120-00074,C1608_C1608_22NF/50V,T,104.3462,61.8293,0.0
C11,1120-00037,CAP_C2012_DISCRETE_10UF/16V,B,69.1212,86.2983,270.0
C2,1120-00035,CAP NP_C1608_10UF/6.3V,B,62.1,8.2,0.0
C3,1120-00023,CAP NP_0_C1005_100NF/16V,B,61.75,6.95,180.0
C354,1120-00165,C3225_5_C1005_10NF/50V,T,18.6462,97.0983,90.0
C4,1120-00013,CAP NP_0_C1005_100PF/50V,B,59.65,7.0,0.0
C40,1120-00160,C1608_C3225_10UF/35V/3225,T,97.2,75.3,90.0
C5,1120-00016,C_C1005_DISCRETE_1NF/50V,T,103.7957,86.1462,0.0
C5100,1120-00421,C1608_C1608_220NF/50V,T,101.4962,59.6293,90.0
C5101,1120-00374,C1608_C1005_100NF/50V,T,96.3462,63.5293,90.0
C5118,1180-00541,"CAP NP_0_C1608_68NH,1608",T,100.25,36.0,90.0
C6,1120-00170,CAP_C1608_DISCRETE_1UF/25V,T,60.9712,92.1983,180.0
C89,1120-00066,CAP_C1005_DISCRETE_22PF/50V,B,70.1462,89.2483,270.0
CN4,1130-00198,CON_HDMI_SMD_0_HDMI_SOCKET_CSS5,T,33.9962,112.7043,180.0
D1,1145-00107,DIO-TVS-BIPOLAR_0_SMCJ20A_SMCJ2,T,101.85,96.3,270.0
D104,1145-00120,95SQ015/TO_SMA-B320A-B360A_SS14,T,94.65,89.05,180.0
D105,1145-00140,95SQ015/TO_SMA-B320A-B360A_SM34,T,88.1712,70.8293,270.0
D29,1145-00109,DIO-TVS-BIPOLAR_0_DO214AC-SMA_D,T,13.2957,102.6962,0.0
D7,1145-00047,DIO-TVS-BIPOLAR_0_SOD923-12_PDF,T,69.2017,101.3462,90.0
E3,1140-00114,DIO-ARRAY-TVS4-V1_1_SON50P100X2,T,30.1962,104.6543,90.0
EC2,1125-00139,CE_ALCAP6_3_DISCRETE_220UF/16V_,T,63.0022,99.4483,0.0
F3,1175-01499,MP62055_0_SOT23_5P_EMS6030A,T,54.3983,95.0038,180.0
FB14,1105-00070,BD_0_FB2012_HCB 2012KF-800T50,T,88.2043,48.7288,90.0
FB3,1105-00075,FB_L1608_DISCRETE_HCB 1608KF-30,T,69.4,30.075,90.0
J503,1135-00289,CON RF 3PIN_0_MHF-20279_CON RF,T,97.4,25.8,180.0
L4815,1180-00427,COIL_DIP_SPE8040_HPC8040NC-6R8M,T,89.5212,61.9293,180.0
L8,1140-00024,THERMAL FUSE_L3216_SMD1206P020T,T,42.4502,103.5953,90.0
PC184,1120-00305,C3225_7_C2012_22UF/10V,T,18.8,83.9,270.0
PC25,1120-00221,C3225_5_C1608_22UF/6.3V,T,80.575,76.9,90.0
PL51,1180-00419,COIL_DIP_SWPA5040_4.7UH,T,14.0,86.2,0.0
PL59,1180-00417,COIL_DIP_SWPA5040_2.2UH,T,40.65,29.05,0.0
PR118,1215-00955,R1608_R1005_4.53K/F,T,37.2,36.35,180.0
PR124,1215-00992,R1608_R1005_8.66KF,T,19.9,36.4,180.0
PR128,1215-00349,R1608_R1005_120K,B,75.575,58.925,180.0
PR13,1215-00848,R1608_R1005_2.7K/F,B,53.5038,93.3983,90.0
PR130,1215-00360,R1608_R1005_30.9KF,T,77.65,63.15,180.0
PR51,1215-00422,R1608_R1005_39K,B,75.025,60.275,270.0
PR55,1215-00537,R1608_R1005_52.3KF,T,18.55,92.25,90.0
PR56,1215-00401,R1608_R1005_10KF,T,17.55,93.05,90.0
PU51,1175-01447,TPS62110-QFN16H_4_SOT-563_IC_TP,T,13.85,91.55,270.0
PU61,1175-01448,TPS62110-QFN16H_4_SOT-563_IC__1,T,35.35,33.15,0.0
Q1706,1240-00057,NPN_0_SOT23_3P_LMBT2222ALT1G,T,31.1962,10.4983,180.0
Q1710,1240-00061,PNP_3_SOT23_123_LMBT2907ALT1G,T,29.6457,14.8462,180.0
R1,1215-00407,R0402_R1005_4.7K/F,T,60.55,18.55,90.0
R10,1215-00023,R0402_R1005_0R,B,52.5153,66.4428,315.0
R13,1215-00264,R0402_R1005_6.8K/F,B,53.7483,63.3538,45.0
R139,1215-00081,R_4_R1608_150R/F,T,26.3962,13.8733,180.0
R140,1215-00024,R_4_R1608_0R,T,26.4038,15.9957,0.0
R141,1215-00340,R_4_R1005_2.2K,T,33.0962,15.4483,90.0
R145,1215-00482,R1608_R1005_1.2K/F,T,32.1038,15.4457,270.0
R150,1215-00083,RES_R2012_DISCRETE_150R_,T,21.3017,10.9462,270.0
R152,1215-00025,R1608_R2012_0R,T,23.3017,10.9462,90.0
R20,1215-00505,R0402_R1005_240R/F,T,20.0913,51.9688,270.0
R21,1215-00433,R0402_R1005_100R/F,T,21.5313,53.4808,180.0
R23,1215-00104,R0402_R1005_1K/F,T,22.5403,65.1648,0.0
R2464,1215-00598,RES_R1005_DISCRETE_604R/F,B,69.6962,90.5983,0.0
R2465,1215-00417,RES_R1005_DISCRETE_27K/F,B,72.5462,87.7983,180.0
R2466,1215-00952,RES_R1005_DISCRETE_43K/F,B,72.5462,89.6983,0.0
R28,1215-00496,R0402_R1005_1.8K/F,B,37.1462,102.3483,270.0
R31,1215-00186,R0402_R1005_33R,T,37.1462,102.3483,270.0
R38,1215-00404,R0402_R1005_30K/F,T,34.1,19.2,270.0
R40,1215-00351,R0402_R1005_2K/F,T,43.7493,46.1148,180.0
R41,1215-00528,R0402_R1005_75R/F,T,59.1017,94.4462,90.0
R43,1215-00450,R0402_R1005_100K/F,T,68.0517,101.2962,90.0
R44,1215-00823,R1608_R1005_47R/F,T,95.3962,62.4793,270.0
R45,1215-01065,R1608_R1005_14K/F,T,104.1462,60.6293,0.0
R5,1215-00401,R0402_R1005_10K/F,T,55.85,18.55,270.0
R64,1215-00548,RES_R1005_DISCRETE_68K/F,B,62.4962,90.1983,180.0
R6519,1215-00224,R1608_R1005_47K/F,T,97.2462,60.7293,0.0
R6520,1215-00044,R1608_R1608_100R/F,T,103.95,65.8,180.0
R6521,1215-00421,R1608_R1005_33K/F,T,102.6962,60.0793,90.0
R6522,1215-01057,R1608_R3216_3.9K/F,T,95.1462,85.8543,180.0
R6526,1120-00012,R1608_1_R1608_10PF/1608,T,94.25,32.25,180.0
R8,1215-00442,R0402_R1005_20K/F,B,53.8953,55.1978,315.0
RS1,1215-00928,R0402_R1005_82R/F,T,36.2433,73.3178,0.0
RS29,1215-00851,R0402_R1005_5.1R/F,T,28.8462,102.0983,270.0
RS3,1215-00994,RN0402_0_RN-8P-0402_82R,T,41.1893,71.3168,225.0
SH1,1285-00584,T POINT F_SHIELD_CAN_PAD_SHIELD,T,7.5,78.5,0.0
SW1,1235-00067,SW2_0_SW4P-SMD-W4_6-NTH0_5_TMSV,T,91.0001,6.55,90.0
T30,1120-00049,C_C1005_DISCRETE_15PF/50V,T,80.6462,102.5043,90.0
TC20,1120-00224,C_C1005_DISCRETE_8.2PF/50V,T,82.2462,112.6083,180.0
TC3,1120-00087,C_C1005_DISCRETE_27PF/50V,T,83.4662,96.3513,90.0
TC6,1120-00109,C_C1005_DISCRETE_47PF/50V,T,89.1462,99.9043,0.0
TC8,1120-00009,C_C1005_DISCRETE_0.5PF/50V,T,81.1462,108.5033,180.0
TL1,1180-00686,L_L2012_DISCRETE_22UH,T,87.7212,81.4793,0.0
TR5,1215-00546,R_R1005_DISCRETE_68R,T,82.1222,102.0743,180.0
U1,1175-01441,M3533_1_LQFP128_P0_4_B14X14_EP7,T,45.4633,61.1008,225.0
U206,1175-01226,NT5CB64M16DP-CF_BGA96N_P08_W9X1,T,22.7503,59.4477,270.0
U207,1175-01673,MP8128_1_QFN3X3_20P_040_MP8128,T,100.5462,63.4793,270.0
U5,1175-01268,M3031_0_QFN16-P0_5-B3X3-EP1_7_M,T,85.7462,100.6533,270.0
U7,1175-01452,CH455G_0_SOP127_060_16P_ET6226M,T,64.5517,31.0532,270.0
U8,1175-01709,TPS62110-QFN16H_2_TSSOP8P-P0_5-,T,23.8962,85.4483,270.0
U81,1175-01712,MX35LF1GE4AB-Z4I_3_LGA8P_6X8_S3,T,51.7962,31.504,0.0
U83,1175-01510,AMP-DRV603-TSOP14_TSSOP14-065-6,T,67.5962,91.0983,90.0
W1,1325-00046,TPS62110-QFN16H_1_6192E-UC_IC_F,T,90.75,40.9,180.0
Y1,1255-00136,XTAL-1G3G_XTALS4_3M2X2M5_DISCRE,T,59.4983,53.0038,315.0
